Rank,Map Name,Agent Name,alias,Year,Quarter,Month,Day,Sum of Ultimate Casts,Sum of TRN Performance Score,Sum of Traded,Sum of Thrifty,Sum of Team Aces,Sum of Rounds Won,Sum of Rounds Played,Sum of Rounds Lost,Sum of Round Ratio,Sum of Plants,Sum of Placement,Sum of Match Result Binary,Sum of KD Ratio,Sum of Last Deaths,Sum of Kills,Sum of KAST,Sum of Headshots Percentage,Sum of Headshots,Sum of Flawless,Sum of Grenade Casts,Sum of First Bloods,Sum of First Deaths,Sum of Ability 1 Casts,Sum of Ability 2 Casts,Sum of Assists,Sum of Clutches,Sum of Damage,Sum of Damage Delta Per Round,Sum of Damage Per Round,Sum of Damage Received,Sum of Dealt Bodyshots,Sum of Dealt Headshots,Sum of Deaths,Sum of Defuses,Sum of Econ Rating,Match Result
Iron 3,Breeze,Reyna,a1ex,2022,Qtr 3,August,25,0,279,0,1,4,1,14,13,0.0769230769230769,1,4,0,0.7692307692307693,2,10,50,7.8125,4,0,11,2,1,6,0,1,0,1932,-38.285714285714285,138,2468,50,5,13,1,58,defeat
Iron 3,Fracture,Reyna,a1ex,2022,Qtr 3,August,26,0,432,2,1,1,8,10,2,4,3,10,1,0.2,0,1,80,28.57142857142857,1,0,8,0,1,1,0,1,0,314,-53.5,31.4,849,4,2,5,0,24,victory
Iron 3,Icebox,Reyna,a1ex,2022,Qtr 3,August,25,0,672,3,5,2,13,22,9,1.44444444444444,1,5,1,0.8947368421052632,1,17,73,9.615384615384617,2,0,2,7,2,12,0,5,1,3301,-2.8636363636363638,150.04545454545453,3364,37,5,19,0,56,victory
Iron 3,Pearl,Reyna,a1ex,2022,Qtr 3,August,24,0,283,1,4,0,4,17,13,0.307692307692308,0,6,0,0.9230769230769231,1,12,53,0,0,0,17,2,2,9,1,1,0,1912,-21.764705882352942,112.47058823529412,2282,48,0,13,0,53,defeat
Platinum 1,Ascent,Viper,silver,2022,Qtr 3,September,25,0,731,0,2,6,13,19,6,2.16666666666667,1,4,1,1.1818181818181819,3,13,79,16.666666666666664,6,1,11,0,2,16,17,7,0,2478,25.210526315789473,130.42105263157896,1999,38,8,11,1,56,victory
Platinum 1,Ascent,Viper,silver,2022,Qtr 4,October,9,0,745,2,3,3,13,16,3,4.33333333333333,0,5,1,1.2857142857142858,0,9,81,7.547169811320755,3,0,10,0,2,12,16,14,0,2245,54.9375,140.3125,1366,35,4,7,1,83,victory
Platinum 1,Ascent,Viper,silver,2023,Qtr 1,January,30,0,339,4,3,1,7,20,13,0.538461538461538,0,6,0,0.625,3,10,70,3.225806451612903,1,0,8,1,2,8,16,12,0,2274,-47.05,113.7,3215,45,2,16,1,49,defeat
Platinum 1,Bind,Viper,silver,2022,Qtr 3,September,5,0,797,4,0,4,13,14,1,13,2,4,1,1.8333333333333333,1,11,100,8.51063829787234,4,2,3,1,0,9,9,6,0,1766,14.071428571428571,126.14285714285714,1569,30,4,6,0,60,victory
Platinum 1,Bind,Viper,silver,2023,Qtr 3,September,4,0,567,2,3,3,13,18,5,2.6,2,8,1,1,1,9,78,10.526315789473683,3,1,18,0,0,14,17,3,0,1916,-3.0555555555555554,106.44444444444444,1971,28,4,9,0,53,victory
Platinum 1,Breeze,Jett,justsimple,2024,Qtr 2,June,2,0,804,0,1,0,6,7,1,6,1,5,1,2.5,0,5,86,0,0,0,4,0,0,1,9,3,0,803,59.285714285714285,114.71428571428571,388,22,0,2,0,61,victory
Platinum 1,Breeze,Reyna,justsimple,2022,Qtr 4,November,26,0,996,0,2,8,13,15,2,6.5,2,1,1,9,1,18,93,11.11111111111111,8,2,11,4,0,12,0,6,0,3171,145.73333333333332,211.4,985,53,8,2,0,137,victory
Platinum 1,Breeze,Sova,sp1cyn00dz,2024,Qtr 2,April,19,0,398,1,4,10,9,22,13,0.692307692307692,2,6,0,1,4,16,59,22,10,2,5,0,1,13,15,6,1,3080,-2.6818181818181817,140,3139,37,11,16,0,60,defeat
Platinum 1,Breeze,Viper,silver,2024,Qtr 1,January,21,0,726,2,5,5,13,19,6,2.16666666666667,0,6,1,1.0909090909090908,2,12,84,14.893617021276595,5,2,17,0,1,17,19,6,1,2826,21.894736842105264,148.73684210526315,2410,38,7,11,0,56,victory
Platinum 1,Breeze,Viper,silver,2024,Qtr 1,February,18,0,346,1,2,3,3,16,13,0.230769230769231,1,6,0,0.6923076923076923,4,9,69,8.771929824561402,3,0,11,0,2,15,15,7,1,1899,-24.125,118.6875,2285,42,5,13,0,49,defeat
Platinum 1,Fracture,Reyna,justsimple,2022,Qtr 4,November,3,0,252,0,2,3,4,17,13,0.307692307692308,0,5,0,0.6428571428571429,0,9,47,16,3,0,14,1,2,7,1,4,0,2197,-14,129.23529411764707,2435,42,8,14,0,57,defeat
Platinum 1,Icebox,Viper,silver,2024,Qtr 2,April,13,0,644,1,4,4,13,15,2,6.5,0,8,1,2.25,0,9,80,16.129032258064516,4,3,9,0,1,14,14,6,0,1676,34.8,111.73333333333333,1154,22,5,4,0,57,victory
Platinum 1,Pearl,Brimstone,shift,2022,Qtr 4,October,21,0,651,4,2,6,13,16,3,4.33333333333333,5,4,1,1.4,0,14,75,20,6,2,8,3,1,7,24,6,0,1840,-3.6875,115,1899,24,7,10,0,57,victory
Platinum 1,Pearl,Viper,silver,2022,Qtr 3,September,14,0,585,0,2,2,10,23,13,0.769230769230769,5,6,0,1.0666666666666667,6,16,78,5.063291139240507,2,1,8,0,1,7,18,7,2,2825,-5.217391304347826,122.82608695652173,2945,52,4,15,1,55,defeat
Platinum 2,Ascent,Chamber,shift,2022,Qtr 3,September,7,0,304,3,5,4,13,23,10,1.3,0,10,1,1.2,0,6,35,26.31578947368421,4,1,6,2,0,2,1,0,0,1063,8.608695652173912,46.21739130434783,865,13,5,5,0,55,victory
Platinum 2,Ascent,Reyna,justsimple,2023,Qtr 1,January,29,0,524,1,3,7,4,17,13,0.307692307692308,0,4,0,1,4,15,71,21.153846153846153,7,0,8,0,2,13,0,3,0,2613,-7.470588235294118,153.7058823529412,2740,37,11,15,0,60,defeat
Platinum 2,Ascent,Reyna,shift,2024,Qtr 1,February,4,0,321,2,2,5,7,20,13,0.538461538461538,0,8,0,0.7142857142857143,0,10,55,15.517241379310345,5,1,23,1,2,0,4,5,0,2468,0.25,123.4,2463,45,9,14,0,54,defeat
Platinum 2,Bind,Brimstone,shift,2022,Qtr 4,October,17,0,391,0,0,5,0,6,6,0,0,4,0,1,1,5,67,58.333333333333336,5,0,2,1,1,1,11,0,0,776,-22.833333333333332,129.33333333333334,913,5,7,5,0,70,defeat
Platinum 2,Bind,Reyna,justsimple,2022,Qtr 4,October,17,0,10,2,0,0,0,6,6,0,0,10,0,0,1,0,33,0,0,0,2,0,2,0,0,0,0,130,-146.33333333333334,21.666666666666668,1008,4,0,6,0,10,defeat
Platinum 2,Bind,Reyna,justsimple,2022,Qtr 4,December,1,0,208,1,2,9,8,21,13,0.615384615384615,0,9,0,0.7058823529411765,3,12,52,26.08695652173913,9,0,23,2,2,12,2,3,1,2457,-51.714285714285715,117,3543,28,12,17,1,45,defeat
Platinum 2,Bind,Viper,silver,2023,Qtr 3,September,2,0,770,1,2,4,10,12,2,5,0,4,1,2,1,8,83,14.814814814814813,4,4,11,0,0,12,12,4,0,1525,56.916666666666664,127.08333333333333,842,19,4,4,1,72,victory
Platinum 2,Breeze,Cypher,shift,2024,Qtr 1,March,6,0,372,2,4,6,6,19,13,0.461538461538462,1,7,0,0.7333333333333333,2,11,63,17.647058823529413,6,0,23,0,0,22,12,4,1,2659,-1.1578947368421053,139.94736842105263,2681,40,9,15,2,56,defeat
Platinum 2,Breeze,Viper,silver,2022,Qtr 4,December,19,0,434,2,2,2,4,17,13,0.307692307692308,1,7,0,0.8571428571428571,4,12,65,3.278688524590164,2,0,5,1,1,13,12,4,1,2444,8.647058823529411,143.76470588235293,2297,48,2,14,0,64,defeat
Platinum 2,Breeze,Viper,silver,2024,Qtr 1,March,6,0,276,0,4,5,6,19,13,0.461538461538462,1,9,0,0.6666666666666666,6,10,63,12.244897959183673,5,0,19,2,1,11,16,3,0,2360,-36.63157894736842,124.21052631578948,3056,40,6,15,0,51,defeat
Platinum 2,Fracture,Reyna,justsimple,2022,Qtr 4,October,11,0,368,4,3,7,9,22,13,0.692307692307692,0,8,0,0.875,3,14,64,11.29032258064516,7,2,28,2,1,12,1,3,0,2862,-12.727272727272727,130.0909090909091,3142,49,7,16,0,50,defeat
Platinum 2,Fracture,Reyna,justsimple,2022,Qtr 4,October,14,0,226,0,3,5,4,17,13,0.307692307692308,0,6,0,0.9285714285714286,5,13,47,13.636363636363635,5,0,15,1,4,8,0,1,0,1965,-47.8235294117647,115.58823529411765,2778,32,6,14,0,46,defeat
Platinum 2,Fracture,Reyna,justsimple,2022,Qtr 4,November,23,0,355,2,3,9,8,21,13,0.615384615384615,0,10,0,0.7333333333333333,3,11,67,19.298245614035086,9,1,13,1,1,9,2,2,0,2437,-17.095238095238095,116.04761904761905,2796,32,11,15,0,54,defeat
Platinum 2,Haven,Reyna,a1ex,2023,Qtr 1,February,1,0,557,5,7,17,11,24,13,0.846153846153846,0,4,0,1.105263157894737,2,21,62,36.53846153846153,17,0,4,3,4,15,7,5,1,4002,8.375,166.75,3801,32,19,19,1,65,defeat
Platinum 2,Haven,Viper,silver,2022,Qtr 4,December,9,0,598,2,3,1,13,22,9,1.44444444444444,0,8,1,0.7333333333333333,0,11,82,2.898550724637681,1,1,15,1,2,11,20,12,0,2505,-18.59090909090909,113.86363636363636,2914,50,2,15,0,42,victory
Platinum 2,Haven,Viper,silver,2023,Qtr 1,January,2,0,233,6,3,3,9,22,13,0.692307692307692,1,9,0,0.6111111111111112,4,11,59,9.25925925925926,3,0,14,0,1,12,17,2,1,2330,-36.13636363636363,105.9090909090909,3125,42,5,18,0,40,defeat
Platinum 2,Icebox,Reyna,justsimple,2022,Qtr 4,November,27,0,801,2,2,8,13,19,6,2.16666666666667,0,3,1,1.5555555555555556,2,14,84,15.384615384615385,8,2,19,2,2,14,3,7,0,2920,44.89473684210526,153.68421052631578,2067,49,10,9,0,78,victory
Platinum 2,Icebox,Viper,silver,2022,Qtr 4,December,6,0,414,3,4,3,10,23,13,0.769230769230769,1,7,0,0.6470588235294118,4,11,70,7.142857142857142,3,0,19,0,2,20,23,13,1,2727,-15.521739130434783,118.56521739130434,3084,32,4,17,0,49,defeat
Platinum 2,Icebox,Viper,silver,2023,Qtr 1,January,2,0,450,3,2,3,4,17,13,0.307692307692308,1,6,0,0.7333333333333333,6,11,71,5.357142857142857,3,0,11,1,1,14,13,5,1,2460,-9.882352941176471,144.7058823529412,2628,47,3,15,1,61,defeat
Platinum 2,Icebox,Viper,silver,2024,Qtr 3,September,8,0,786,1,3,5,13,15,2,6.5,0,5,1,1.6,2,8,87,16.129032258064516,5,1,6,1,1,14,15,8,0,1990,52.46666666666667,132.66666666666666,1203,25,5,5,0,68,victory
Platinum 2,Lotus,Breach,silver,2024,Qtr 2,May,29,0,604,3,2,2,13,16,3,4.33333333333333,0,9,1,0.6666666666666666,0,6,88,6.0606060606060606,2,3,7,0,0,18,16,9,0,1518,-3.875,94.875,1580,29,2,9,1,42,victory
Platinum 2,Pearl,Chamber,shift,2022,Qtr 4,October,3,0,599,1,2,8,13,17,4,3.25,2,6,1,1,1,9,76,29.03225806451613,8,0,9,1,1,5,2,3,0,1992,17.705882352941178,117.17647058823529,1691,15,9,9,0,51,victory
Platinum 2,Pearl,Viper,silver,2022,Qtr 4,October,12,0,597,5,0,5,13,19,6,2.16666666666667,5,8,1,1,0,12,79,11.363636363636363,5,1,11,1,3,4,16,5,1,1914,-0.15789473684210525,100.73684210526316,1917,28,5,12,1,50,victory
Platinum 2,Split,Reyna,shift,2023,Qtr 3,September,17,0,642,2,2,7,13,21,8,1.625,1,6,1,1.2727272727272727,1,14,76,15.217391304347828,7,2,26,2,2,6,0,3,0,2509,3.2857142857142856,119.47619047619048,2440,36,7,11,0,54,victory
Platinum 2,Split,Viper,silver,2023,Qtr 3,July,21,0,28,2,2,2,3,16,13,0.230769230769231,1,10,0,0.3333333333333333,1,5,31,9.090909090909092,2,0,13,0,0,7,14,2,0,807,-98.5,50.4375,2383,16,2,15,0,20,defeat
Platinum 3,Ascent,KAY/O,silver,2023,Qtr 3,August,23,0,248,3,4,2,5,18,13,0.384615384615385,0,8,0,0.4,2,6,67,6,2,1,7,1,2,13,18,5,0,1916,-36.44444444444444,106.44444444444444,2572,41,3,15,0,42,defeat
Platinum 3,Ascent,Killjoy,silver,2024,Qtr 2,June,1,0,445,2,1,0,13,16,3,4.33333333333333,0,8,1,0.5555555555555556,0,5,75,0,0,3,26,1,1,11,7,4,0,1187,-26.1875,74.1875,1606,46,0,9,0,29,victory
Platinum 3,Ascent,Viper,silver,2022,Qtr 4,November,27,0,466,0,1,5,2,15,13,0.153846153846154,1,3,0,0.8461538461538461,7,11,67,9.67741935483871,5,0,5,0,0,6,8,5,0,2419,0.6666666666666666,161.26666666666668,2409,42,6,13,0,65,defeat
Platinum 3,Ascent,Viper,silver,2023,Qtr 2,April,11,0,879,1,5,4,13,19,6,2.16666666666667,1,4,1,1.4,2,14,95,5.405405405405405,4,1,24,0,0,13,19,11,1,3071,46.8421052631579,161.6315789473684,2181,42,4,10,0,69,victory
Platinum 3,Bind,Omen,pphead,2021,Qtr 4,November,18,0,189,4,1,4,7,20,13,0.538461538461538,2,9,0,0.4375,1,7,60,14.893617021276595,4,2,1,1,2,15,34,10,0,1863,-47.55,93.15,2814,37,7,16,0,32,defeat
Platinum 3,Bind,Omen,shift,2024,Qtr 3,September,11,0,65,3,1,3,1,14,13,0.0769230769230769,1,10,0,0.3076923076923077,2,4,57,16.666666666666664,3,0,0,0,2,8,18,4,0,1033,-100.71428571428571,73.78571428571429,2443,15,3,13,0,29,defeat
Platinum 3,Bind,Sova,pphead,2022,Qtr 2,May,26,0,379,1,4,5,13,20,7,1.85714285714286,3,9,1,0.6428571428571429,3,9,70,23.333333333333332,5,1,14,0,2,18,28,8,0,1793,-45.9,89.65,2711,22,7,14,0,36,victory
Platinum 3,Breeze,Chamber,crocodiledundii,2024,Qtr 2,May,31,0,788,2,5,9,13,19,6,2.16666666666667,1,5,1,1.7777777777777777,0,16,79,25.71428571428571,9,2,14,5,1,2,10,3,0,2779,34.78947368421053,146.26315789473685,2118,25,9,9,1,61,victory
Platinum 3,Breeze,Sova,pphead,2022,Qtr 2,April,8,0,456,0,4,4,13,20,7,1.85714285714286,5,9,1,0.6153846153846154,4,8,75,16,4,1,16,0,0,22,25,11,0,1759,-30.85,87.95,2376,19,4,13,0,33,victory
Platinum 3,Haven,Jett,crocodiledundii,2023,Qtr 4,December,3,0,755,4,4,11,13,21,8,1.625,0,5,1,1.2142857142857142,1,17,81,23.52941176470588,11,2,8,2,6,2,14,5,0,3197,19.476190476190474,152.23809523809524,2788,36,12,14,0,61,victory
Platinum 3,Haven,Killjoy,silver,2024,Qtr 2,June,14,0,190,2,1,4,5,18,13,0.384615384615385,2,9,0,0.6923076923076923,3,9,61,16.129032258064516,4,2,17,1,1,11,3,4,0,1821,-46.55555555555556,101.16666666666667,2659,22,5,13,0,39,defeat
Platinum 3,Lotus,Omen,pphead,2023,Qtr 1,January,18,0,921,4,3,9,13,16,3,4.33333333333333,3,4,1,1.4,0,14,88,20.37037037037037,9,0,1,3,0,11,40,13,0,2816,68.625,176,1718,42,11,10,1,76,victory
Platinum 3,Pearl,Viper,silver,2022,Qtr 4,November,8,0,583,3,3,1,11,12,1,11,0,9,1,1,0,4,100,4.3478260869565215,1,2,5,0,0,12,12,4,0,786,-13.5,65.5,948,16,1,4,2,29,victory
Platinum 3,Split,Reyna,a1ex,2023,Qtr 1,February,11,0,938,0,5,21,13,21,8,1.625,2,1,1,1.7333333333333334,1,26,81,36.84210526315789,21,1,4,3,1,20,5,4,1,4816,83.04761904761905,229.33333333333334,3072,35,21,15,0,87,victory
Platinum 3,Sunset,Omen,crocodiledundii,2024,Qtr 3,July,21,0,179,0,4,8,8,21,13,0.615384615384615,2,10,0,0.5263157894736842,2,10,52,29.411764705882355,8,0,8,0,2,12,42,11,1,2099,-61.904761904761905,99.95238095238095,3399,21,10,19,0,39,defeat
Platinum 3,Sunset,Omen,silver,2024,Qtr 3,September,2,0,427,4,6,5,9,22,13,0.692307692307692,0,6,0,0.75,4,12,73,11.11111111111111,5,1,2,3,0,17,51,9,0,2758,-27.454545454545453,125.36363636363636,3362,54,7,16,0,49,defeat
Silver 1,Breeze,Sova,sp1cyn00dz,2021,Qtr 3,July,8,0,407,1,1,3,8,10,2,4,0,7,1,1,0,5,60,14.285714285714285,3,1,2,0,0,1,11,3,0,992,5.8,99.2,934,20,4,5,0,55,victory
Silver 1,Haven,Cypher,pphead,2021,Qtr 1,March,10,0,47,0,0,0,0,7,13,0,0,8,0,0.16666666666666666,1,1,14,6.666666666666667,0,0,6,0,2,7,6,1,0,469,-59.285714285714285,67,884,11,1,6,0,33,defeat
Silver 1,Haven,Reyna,crocodiledundii,2021,Qtr 2,June,15,0,585,6,3,10,13,21,8,1.625,0,7,1,0.8125,1,13,81,26.666666666666668,10,0,32,2,3,6,3,11,0,2326,-33.19047619047619,110.76190476190476,3023,27,12,16,0,45,victory
Silver 1,Split,Viper,silver,2021,Qtr 2,May,10,0,464,2,3,5,4,17,13,0.307692307692308,1,3,0,0.875,4,14,65,9.230769230769232,5,0,11,2,0,6,17,2,0,2440,-5,143.52941176470588,2525,47,6,16,0,58,defeat
Silver 2,Ascent,Viper,silver,2021,Qtr 4,November,15,0,668,2,3,2,13,18,5,2.6,0,9,1,1.5714285714285714,1,11,89,4.081632653061225,2,1,7,0,0,13,14,9,1,1596,10.944444444444445,88.66666666666667,1399,36,2,7,0,49,victory
Silver 2,Bind,Reyna,justsimple,2021,Qtr 2,April,11,0,262,0,4,6,7,20,13,0.538461538461538,0,9,0,0.6470588235294118,0,11,55,19.565217391304348,6,1,14,4,4,7,0,5,2,2136,-33.45,106.8,2805,31,9,17,0,44,defeat
Silver 2,Bind,Viper,silver,2021,Qtr 4,October,19,0,110,1,1,2,2,15,13,0.153846153846154,0,9,0,0.5384615384615384,4,7,60,9.67741935483871,2,1,7,1,1,9,14,1,0,1091,-85.46666666666667,72.73333333333333,2373,24,3,13,0,28,defeat
Silver 2,Breeze,Killjoy,pphead,2021,Qtr 4,October,1,0,77,1,3,7,4,17,13,0.307692307692308,2,9,0,0.5,5,8,41,29.03225806451613,7,0,4,0,2,7,5,1,1,1528,-79.88235294117646,89.88235294117646,2886,22,9,16,0,36,defeat
Silver 2,Icebox,Sage,pphead,2021,Qtr 2,June,25,0,517,1,2,9,4,17,13,0.307692307692308,0,2,0,1.0714285714285714,1,15,65,18.51851851851852,9,2,11,2,2,9,8,0,0,2732,18.058823529411764,160.7058823529412,2425,39,10,14,0,63,defeat
Silver 2,Split,Viper,silver,2021,Qtr 4,November,20,0,397,3,3,3,13,19,6,2.16666666666667,0,10,1,0.5,4,6,68,17.142857142857142,3,2,9,0,1,14,17,7,0,1533,-16.36842105263158,80.6842105263158,1844,25,6,12,0,42,victory
Silver 3,Breeze,Reyna,pphead,2021,Qtr 4,October,2,0,162,2,1,9,2,15,13,0.153846153846154,0,7,0,0.7692307692307693,2,10,53,57.89473684210527,9,0,8,0,5,6,1,0,1,1831,-39.266666666666666,122.06666666666666,2420,7,11,13,0,49,defeat
Silver 3,Fracture,Sova,sp1cyn00dz,2022,Qtr 3,August,15,0,572,0,1,1,2,4,2,1,0,5,1,1,0,3,75,6.666666666666667,1,1,0,0,1,0,1,1,0,449,-5.75,112.25,472,13,1,3,0,56,victory
Silver 3,Haven,Sova,sp1cyn00dz,2023,Qtr 1,January,20,0,51,1,0,0,1,4,3,0.333333333333333,0,9,0,0.25,2,1,50,0,0,0,1,0,2,0,4,0,0,160,-101.5,40,566,5,0,4,0,26,defeat
Silver 3,Sunset,Omen,sp1cyn00dz,2023,Qtr 4,November,17,0,792,0,3,5,7,10,3,2.33333333333333,0,3,1,1.3333333333333333,1,8,80,15.625,5,3,0,1,0,2,15,5,0,1679,41.4,167.9,1265,26,5,6,0,76,victory
Unranked,Ascent,Reyna,justsimple,2023,Qtr 2,June,29,0,189,3,1,4,4,17,13,0.307692307692308,0,9,0,0.47058823529411764,2,8,47,10.204081632653061,4,0,10,1,1,3,0,7,0,2035,-48.705882352941174,119.70588235294117,2863,41,5,17,0,43,defeat
Unranked,Ascent,Sova,crocodiledundii,2024,Qtr 2,May,10,0,701,2,3,5,13,18,5,2.6,0,5,1,1.2,3,12,78,9.230769230769232,5,0,9,2,1,17,23,7,1,2471,20.22222222222222,137.27777777777777,2107,46,6,10,2,52,victory
Unranked,Breeze,Reyna,crocodiledundii,2021,Qtr 2,May,24,0,115,4,7,2,9,22,13,0.692307692307692,1,10,0,0.4,3,6,41,13.333333333333334,2,0,2,2,3,3,0,3,0,954,-58.27272727272727,43.36363636363637,2236,12,2,15,0,24,defeat
Unranked,Breeze,Reyna,justsimple,2021,Qtr 3,August,9,0,379,2,0,2,0,5,5,0,0,7,0,0.4,1,2,80,21.428571428571427,2,0,1,0,0,0,0,0,0,561,-40.2,112.2,762,11,3,5,0,51,defeat
Unranked,Breeze,Viper,silver,2022,Qtr 3,August,4,0,215,2,3,3,4,17,13,0.307692307692308,1,7,0,0.5625,5,9,65,10.526315789473683,3,0,4,2,2,6,11,3,0,1708,-64.17647058823529,100.47058823529412,2799,25,4,16,1,39,defeat
Unranked,Fracture,Cypher,a1ex,2022,Qtr 3,August,21,0,65,0,0,1,0,5,5,0,1,6,0,0.4,3,2,40,20,1,0,0,0,0,1,1,0,0,381,-67.8,76.2,720,7,2,5,0,34,defeat
Unranked,Fracture,Jett,pphead,2023,Qtr 3,July,7,0,460,6,3,3,13,21,8,1.625,0,9,1,0.5333333333333333,0,8,76,17.142857142857142,3,0,14,3,7,1,19,5,0,2172,-34.142857142857146,103.42857142857143,2889,25,6,15,0,43,victory
Unranked,Fracture,Sova,crocodiledundii,2023,Qtr 1,March,9,0,761,3,2,9,13,17,4,3.25,6,4,1,1.5555555555555556,0,14,76,26.666666666666668,9,0,10,0,2,14,15,8,0,2670,56.470588235294116,157.05882352941177,1710,32,12,9,1,74,victory
Unranked,Fracture,Sova,sp1cyn00dz,2022,Qtr 3,August,26,0,193,3,1,6,6,19,13,0.461538461538462,2,9,0,0.5,2,7,63,27.586206896551722,6,2,5,1,1,1,19,3,0,1625,-50.36842105263158,85.52631578947368,2582,19,8,14,0,34,defeat
Unranked,Haven,Breach,a1ex,2023,Qtr 3,September,6,0,72,1,0,4,0,13,13,0,0,6,0,0.5,3,5,46,26.31578947368421,4,0,6,0,0,5,17,0,0,992,-74.3076923076923,76.3076923076923,1958,10,5,10,0,34,defeat
Unranked,Haven,Sage,a1ex,2023,Qtr 2,April,27,0,444,2,3,9,5,18,13,0.384615384615385,0,4,0,0.9285714285714286,3,13,61,18.571428571428573,9,0,2,2,3,15,4,4,0,2719,7.277777777777778,151.05555555555554,2588,51,13,14,0,60,defeat
Unranked,Icebox,Astra,shift,2022,Qtr 3,August,6,0,299,2,2,2,13,16,3,4.33333333333333,2,9,1,0.6,1,6,62,12.121212121212121,2,2,7,0,3,8,5,7,1,1289,-48.6875,80.5625,2068,28,4,10,0,31,victory
Unranked,Icebox,Cypher,a1ex,2022,Qtr 3,August,22,0,802,3,2,10,10,23,13,0.769230769230769,1,4,0,1.105263157894737,7,21,83,11.235955056179774,10,0,0,3,2,2,9,5,0,4240,45.30434782608695,184.34782608695653,3198,55,10,19,0,69,defeat
Unranked,Icebox,Killjoy,silver,2024,Qtr 1,January,17,0,306,2,4,4,7,20,13,0.538461538461538,0,8,0,0.875,3,14,65,10.9375,4,0,20,0,2,20,8,4,1,2274,-31.85,113.7,2911,52,7,16,1,48,defeat
Unranked,Icebox,Reyna,crocodiledundii,2023,Qtr 1,January,30,0,198,7,5,7,7,20,13,0.538461538461538,1,7,0,0.631578947368421,1,12,55,21.428571428571427,7,0,18,1,2,10,1,0,0,2133,-71.4,106.65,3561,30,9,19,0,41,defeat
Unranked,Icebox,Viper,pphead,2021,Qtr 3,September,8,0,921,5,5,13,13,21,8,1.625,0,1,1,1.5,0,21,81,27.692307692307693,13,1,13,3,0,5,15,7,1,4477,106.95238095238095,213.1904761904762,2231,43,18,14,0,86,victory
Unranked,Lotus,Killjoy,silver,2024,Qtr 2,June,26,0,132,1,1,2,3,16,13,0.230769230769231,2,9,0,0.5,8,7,50,7.4074074074074066,2,0,23,1,0,14,5,4,0,1639,-46.5625,102.4375,2384,49,4,14,0,44,defeat
Unranked,Lotus,Reyna,a1ex,2023,Qtr 3,July,1,0,88,1,0,3,0,13,13,0,0,7,0,0.3076923076923077,0,4,54,25,3,0,3,2,3,2,2,3,0,1112,-73.07692307692308,85.53846153846153,2062,12,4,13,0,33,defeat
Bronze 1,Icebox,Phoenix,sp1cyn00dz,2021,Qtr 1,February,2,,565,1,4,6,15,28,13,1.15384615384615,0,4,1,1.4444444444444444,4,26,64,7.547169811320755,6,0,,7,2,,,1,3,4124,-2.9285714285714284,147.28571428571428,4206,95,8,18,0,58,victory
Bronze 1,Split,Sova,sp1cyn00dz,2021,Qtr 1,February,3,,677,0,5,6,13,24,11,1.18181818181818,0,4,1,1.2142857142857142,4,17,79,11.475409836065573,6,1,,3,0,,,6,1,3132,21.416666666666668,130.5,2618,51,7,14,0,63,victory
Bronze 2,Ascent,Phoenix,sp1cyn00dz,2020,Qtr 4,December,4,,363,4,4,5,10,23,13,0.769230769230769,0,9,0,0.631578947368421,2,12,70,8,5,0,,4,2,,,6,3,2626,-57.391304347826086,114.17391304347827,3946,57,6,19,1,49,defeat
Bronze 2,Bind,Sova,sp1cyn00dz,2020,Qtr 4,November,27,,379,0,7,9,13,28,15,0.866666666666667,0,9,0,0.5909090909090909,8,13,68,16.9811320754717,9,2,,2,0,,,10,3,3011,-28.75,107.53571428571429,3816,40,9,22,0,39,defeat
Bronze 2,Bind,Sova,sp1cyn00dz,2021,Qtr 1,February,8,,679,0,1,5,13,15,2,6.5,0,7,1,1.6,0,8,87,20.833333333333336,5,3,,2,0,,,3,1,1418,24.933333333333334,94.53333333333333,1044,19,5,5,0,67,victory
Bronze 2,Haven,Sova,sp1cyn00dz,2020,Qtr 4,December,4,,619,0,1,2,13,24,11,1.18181818181818,1,6,1,1.1538461538461537,8,15,83,2.9850746268656714,2,5,,0,1,,,5,1,2591,-4,107.95833333333333,2687,53,2,13,1,56,victory
Bronze 2,Haven,Sova,sp1cyn00dz,2021,Qtr 1,February,4,,689,0,4,9,13,21,8,1.625,1,4,1,1.8,2,18,71,24.444444444444443,9,2,,1,1,,,4,2,2849,29.714285714285715,135.66666666666666,2225,30,11,10,2,64,victory
Bronze 2,Icebox,Jett,sp1cyn00dz,2021,Qtr 1,February,7,,785,1,2,10,13,22,9,1.44444444444444,1,2,1,1.3571428571428572,3,19,77,15.151515151515152,10,1,,1,0,,,3,0,3588,33.36363636363637,163.0909090909091,2854,51,10,14,1,73,victory
Bronze 2,Icebox,Phoenix,sp1cyn00dz,2020,Qtr 4,December,8,,568,3,3,4,13,23,10,1.3,2,7,1,0.6666666666666666,1,12,83,7.936507936507936,4,1,,3,1,,,8,3,2522,-36.130434782608695,109.65217391304348,3353,51,5,18,0,48,victory
Bronze 3,Ascent,Jett,sp1cyn00dz,2021,Qtr 1,February,11,,661,1,5,8,13,23,10,1.3,2,6,1,1.1538461538461537,0,15,78,16.666666666666664,8,0,,2,1,,,2,1,2868,21.217391304347824,124.69565217391305,2380,39,9,13,0,71,victory
